시도,시군구,성별,총합계,D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),기타
경기도,부천시 소사구,남성,"11,396 ",,205 ,,145 ,,,,7 ,1 ,9 ,1 ,6 ,,,,,14 ,,76 ,2 ,274 ,540 ,174 ,"5,040 ","3,733 ",483 ,35 ,1 ,638 ,12 
경기도,부천시 소사구,여성,"11,900 ",,229 ,,171 ,,1 ,2 ,6 ,,18 ,,16 ,,,,3 ,9 ,,7 ,,345 ,744 ,237 ,"5,804 ","2,956 ",754 ,24 ,4 ,565 ,5 
경기도,부천시 오정구,총계,"4,807 ",,81 ,7 ,42 ,,2 ,,4 ,1 ,12 ,1 ,1 ,,,,,169 ,,"1,050 ",,177 ,188 ,132 ,"1,370 ",715 ,609 ,78 ,2 ,155 ,11 
경기도,부천시 오정구,남성,"2,669 ",,32 ,6 ,16 ,,1 ,,3 ,1 ,4 ,1 ,,,,,,158 ,,980 ,,80 ,84 ,61 ,614 ,348 ,131 ,62 ,,78 ,9 
경기도,부천시 오정구,여성,"2,138 ",,49 ,1 ,26 ,,1 ,,1 ,,8 ,,1 ,,,,,11 ,,70 ,,97 ,104 ,71 ,756 ,367 ,478 ,16 ,2 ,77 ,2 
경기도,부천시 원미구,총계,"26,719 ",,"2,033 ",4 ,"1,305 ",,9 ,,33 ,5 ,163 ,3 ,88 ,1 ,,,18 ,175 ,2 ,728 ,1 ,669 ,"1,305 ",494 ,"10,630 ","6,050 ","1,540 ",290 ,23 ,"1,088 ",62 
경기도,부천시 원미구,남성,"12,788 ",,857 ,1 ,559 ,,8 ,,29 ,4 ,53 ,3 ,24 ,,,,10 ,140 ,2 ,653 ,1 ,285 ,549 ,208 ,"4,803 ","3,317 ",488 ,148 ,6 ,600 ,40 
경기도,부천시 원미구,여성,"13,931 ",,"1,176 ",3 ,746 ,,1 ,,4 ,1 ,110 ,,64 ,1 ,,,8 ,35 ,,75 ,,384 ,756 ,286 ,"5,827 ","2,733 ","1,052 ",142 ,17 ,488 ,22 
경기도,성남시 분당구,총계,"6,708 ",1 ,203 ,,43 ,,4 ,24 ,156 ,1 ,32 ,2 ,307 ,30 ,1 ,,11 ,322 ,,25 ,,91 ,192 ,250 ,"3,692 ",534 ,662 ,20 ,7 ,51 ,47 
경기도,성남시 분당구,남성,"2,963 ",,58 ,,28 ,,2 ,21 ,143 ,1 ,9 ,2 ,103 ,26 ,1 ,,9 ,233 ,,19 ,,48 ,88 ,81 ,"1,568 ",249 ,210 ,10 ,4 ,20 ,30 
경기도,성남시 분당구,여성,"3,745 ",1 ,145 ,,15 ,,2 ,3 ,13 ,,23 ,,204 ,4 ,,,2 ,89 ,,6 ,,43 ,104 ,169 ,"2,124 ",285 ,452 ,10 ,3 ,31 ,17 
경기도,성남시 수정구,총계,"19,087 ",,"3,508 ",1 ,"1,131 ",,2 ,5 ,26 ,3 ,347 ,114 ,33 ,20 ,1 ,,2 ,226 ,4 ,72 ,,393 ,670 ,419 ,"6,920 ","2,678 ",763 ,115 ,6 ,"1,293 ",335 
경기도,성남시 수정구,남성,"8,987 ",,"1,550 ",1 ,398 ,,2 ,4 ,23 ,3 ,146 ,90 ,14 ,16 ,1 ,,2 ,150 ,2 ,65 ,,152 ,270 ,139 ,"3,351 ","1,483 ",183 ,73 ,3 ,690 ,176 
경기도,성남시 수정구,여성,"10,100 ",,"1,958 ",,733 ,,,1 ,3 ,,201 ,24 ,19 ,4 ,,,,76 ,2 ,7 ,,241 ,400 ,280 ,"3,569 ","1,195 ",580 ,42 ,3 ,603 ,159 
